Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
112011575,2023-07,Not specified,Not specified,-2.211766,53.457567,On or near Curzon Avenue,,,violent-crime,Under investigation,
111907006,2023-07,Not specified,Not specified,-2.241051,53.419022,On or near Spath Road,,,violent-crime,Under investigation,
112049859,2023-07,Not specified,Not specified,-2.263956,53.427037,On or near Grindley Avenue,,,violent-crime,Under investigation,
113581110,2023-07,Not specified,Not specified,-2.255517,53.482776,Salford Central (station),,,violent-crime,Under investigation,
111905656,2023-07,Not specified,Not specified,-2.095070,53.445978,On or near Dixon Road,,,violent-crime,Under investigation,
113581037,2023-07,Not specified,Not specified,-2.353676,53.448349,Urmston (station),,,bicycle-theft,Under investigation,
113581036,2023-07,Not specified,Not specified,-2.353676,53.448349,Urmston (station),,,drugs,Under investigation,
113581035,2023-07,Not specified,Not specified,-2.353676,53.448349,Urmston (station),,,drugs,Under investigation,
113581034,2023-07,Not specified,Not specified,-2.353676,53.448349,Urmston (station),,,drugs,Under investigation,
113581033,2023-07,Not specified,Not specified,-2.353676,53.448349,Urmston (station),,,drugs,Under investigation,
112038611,2023-07,Not specified,Not specified,-2.251833,53.519689,On or near Edilom Road,,,violent-crime,Investigation complete; no suspect identified,
113580314,2023-07,Not specified,Not specified,-2.253570,53.474173,Deansgate (station),,,other-theft,Under investigation,
113580316,2023-07,Not specified,Not specified,-2.253570,53.474173,Deansgate (station),,,public-order,Under investigation,
113580315,2023-07,Not specified,Not specified,-2.253570,53.474173,Deansgate (station),,,public-order,Under investigation,
111923685,2023-07,Not specified,Not specified,-2.227374,53.590863,On or near Grosvenor Street,,,violent-crime,Under investigation,
113585022,2023-07,Not specified,Not specified,-2.041358,53.514824,Mossley (greater Manchester) (station),,,violent-crime,Under investigation,
112076963,2023-07,Not specified,Not specified,-2.168718,53.406697,On or near Hardman Street,,,violent-crime,Under investigation,
111592141,2023-07,Not specified,Not specified,-2.496504,53.477764,On or near Park/open Space,,,shoplifting,Investigation complete; no suspect identified,
111593144,2023-07,Not specified,Not specified,-2.496504,53.477764,On or near Park/open Space,,,shoplifting,Investigation complete; no suspect identified,
111590483,2023-07,Not specified,Not specified,-2.496504,53.477764,On or near Park/open Space,,,shoplifting,Investigation complete; no suspect identified,
111589924,2023-07,Not specified,Not specified,-2.496504,53.477764,On or near Park/open Space,,,shoplifting,Unable to prosecute suspect,
113580654,2023-07,Not specified,Not specified,-2.428390,53.574381,Bolton (station),,,drugs,Under investigation,
113580656,2023-07,Not specified,Not specified,-2.428390,53.574381,Bolton (station),,,public-order,Under investigation,
113580655,2023-07,Not specified,Not specified,-2.428390,53.574381,Bolton (station),,,public-order,Under investigation,
113580653,2023-07,Not specified,Not specified,-2.428390,53.574381,Bolton (station),,,violent-crime,Under investigation,
111933156,2023-07,Not specified,Not specified,-2.653158,53.562923,On or near Yates Grove,,,violent-crime,Under investigation,
111933227,2023-07,Not specified,Not specified,-2.552903,53.596003,On or near Greenstone Avenue,,,violent-crime,Action to be taken by another organisation,
